"Book","ChapterNum","ChapterHeb","Date"
"ישעיהו","2","ב׳","13.12.2026"
"ישעיהו","3","ג׳","14.12.2026"
"ישעיהו","4","ד׳","15.12.2026"
"ישעיהו","5","ה׳","16.12.2026"
"ישעיהו","6","ו׳","17.12.2026"
"ישעיהו","7","ז׳","20.12.2026"
"ישעיהו","8","ח׳","21.12.2026"
"ישעיהו","9","ט׳","22.12.2026"
"ישעיהו","10","י׳","23.12.2026"
"ישעיהו","11","י״א","24.12.2026"
"ישעיהו","12","י״ב","27.12.2026"
"ישעיהו","13","י״ג","28.12.2026"
"ישעיהו","14","י״ד","29.12.2026"
"ישעיהו","15","ט״ו","30.12.2026"
"ישעיהו","16","ט״ז","31.12.2026"
"ישעיהו","17","י״ז","3.1.2027"
"ישעיהו","18","י״ח","4.1.2027"
"ישעיהו","19","י״ט","5.1.2027"
"ישעיהו","20","כ׳","6.1.2027"
"ישעיהו","21","כ״א","7.1.2027"
"ישעיהו","22","כ״ב","10.1.2027"
"ישעיהו","23","כ״ג","11.1.2027"
"ישעיהו","24","כ״ד","12.1.2027"
"ישעיהו","25","כ״ה","13.1.2027"
"ישעיהו","26","כ״ו","14.1.2027"
"ישעיהו","27","כ״ז","17.1.2027"
"ישעיהו","28","כ״ח","18.1.2027"
"ישעיהו","29","כ״ט","19.1.2027"
"ישעיהו","30","ל׳","20.1.2027"
"ישעיהו","31","ל״א","21.1.2027"
"ישעיהו","32","ל״ב","24.1.2027"
"ישעיהו","33","ל״ג","25.1.2027"
"ישעיהו","34","ל״ד","26.1.2027"
"ישעיהו","35","ל״ה","27.1.2027"
"ישעיהו","36","ל״ו","28.1.2027"
"ישעיהו","37","ל״ז","31.1.2027"
"ישעיהו","38","ל״ח","1.2.2027"
"ישעיהו","39","ל״ט","2.2.2027"
"ישעיהו","40","מ׳","3.2.2027"
"ישעיהו","41","מ״א","4.2.2027"
"ישעיהו","42","מ״ב","7.2.2027"
"ישעיהו","43","מ״ג","8.2.2027"
"ישעיהו","44","מ״ד","9.2.2027"
"ישעיהו","45","מ״ה","10.2.2027"
"ישעיהו","46","מ״ו","11.2.2027"
"ישעיהו","47","מ״ז","14.2.2027"
"ישעיהו","48","מ״ח","15.2.2027"
"ישעיהו","49","מ״ט","16.2.2027"
"ישעיהו","50","נ׳","17.2.2027"
"ישעיהו","51","נ״א","18.2.2027"
"ישעיהו","52","נ״ב","21.2.2027"
"ישעיהו","53","נ״ג","22.2.2027"
"ישעיהו","54","נ״ד","23.2.2027"
"ישעיהו","55","נ״ה","24.2.2027"
"ישעיהו","56","נ״ו","25.2.2027"
"ישעיהו","57","נ״ז","28.2.2027"
"ישעיהו","58","נ״ח","1.3.2027"
"ישעיהו","59","נ״ט","2.3.2027"
"ישעיהו","60","ס׳","3.3.2027"
"ישעיהו","61","ס״א","4.3.2027"
"ישעיהו","62","ס״ב","7.3.2027"
"ישעיהו","63","ס״ג","8.3.2027"
"ישעיהו","64","ס״ד","9.3.2027"
"ישעיהו","65","ס״ה","10.3.2027"
"ישעיהו","66","ס״ו","11.3.2027"
"ירמיהו","1","א׳","14.3.2027"
"ירמיהו","2","ב׳","15.3.2027"
"ירמיהו","3","ג׳","16.3.2027"
"ירמיהו","4","ד׳","17.3.2027"
"ירמיהו","5","ה׳","18.3.2027"
"ירמיהו","6","ו׳","21.3.2027"
"ירמיהו","7","ז׳","22.3.2027"
"ירמיהו","8","ח׳","23.3.2027"
"ירמיהו","9","ט׳","24.3.2027"
"ירמיהו","10","י׳","25.3.2027"
"ירמיהו","11","י״א","28.3.2027"
"ירמיהו","12","י״ב","29.3.2027"
"ירמיהו","13","י״ג","30.3.2027"
"ירמיהו","14","י״ד","31.3.2027"
"ירמיהו","15","ט״ו","1.4.2027"
"ירמיהו","16","ט״ז","4.4.2027"
"ירמיהו","17","י״ז","5.4.2027"
"ירמיהו","18","י״ח","6.4.2027"
"ירמיהו","19","י״ט","7.4.2027"
"ירמיהו","20","כ׳","8.4.2027"
"ירמיהו","21","כ״א","11.4.2027"
"ירמיהו","22","כ״ב","12.4.2027"
"ירמיהו","23","כ״ג","13.4.2027"
"ירמיהו","24","כ״ד","14.4.2027"
"ירמיהו","25","כ״ה","15.4.2027"
"ירמיהו","26","כ״ו","18.4.2027"
"ירמיהו","27","כ״ז","19.4.2027"
"ירמיהו","28","כ״ח","20.4.2027"
"ירמיהו","29","כ״ט","21.4.2027"
"ירמיהו","30","ל׳","22.4.2027"
"ירמיהו","31","ל״א","25.4.2027"
"ירמיהו","32","ל״ב","26.4.2027"
"ירמיהו","33","ל״ג","27.4.2027"
"ירמיהו","34","ל״ד","28.4.2027"
"ירמיהו","35","ל״ה","29.4.2027"
"ירמיהו","36","ל״ו","2.5.2027"
"ירמיהו","37","ל״ז","3.5.2027"
"ירמיהו","38","ל״ח","4.5.2027"
"ירמיהו","39","ל״ט","5.5.2027"
"ירמיהו","40","מ׳","6.5.2027"
"ירמיהו","41","מ״א","9.5.2027"
"ירמיהו","42","מ״ב","10.5.2027"
"ירמיהו","43","מ״ג","11.5.2027"
"ירמיהו","44","מ״ד","12.5.2027"
"ירמיהו","45","מ״ה","13.5.2027"
"ירמיהו","46","מ״ו","16.5.2027"
"ירמיהו","47","מ״ז","17.5.2027"
"ירמיהו","48","מ״ח","18.5.2027"
"ירמיהו","49","מ״ט","19.5.2027"
"ירמיהו","50","נ׳","20.5.2027"
"ירמיהו","51","נ״א","23.5.2027"
"ירמיהו","52","נ״ב","24.5.2027"
"יחזקאל","1","א׳","25.5.2027"
"יחזקאל","2","ב׳","26.5.2027"
"יחזקאל","3","ג׳","27.5.2027"
"יחזקאל","4","ד׳","30.5.2027"
"יחזקאל","5","ה׳","31.5.2027"
"יחזקאל","6","ו׳","1.6.2027"
"יחזקאל","7","ז׳","2.6.2027"
"יחזקאל","8","ח׳","3.6.2027"
"יחזקאל","9","ט׳","6.6.2027"
"יחזקאל","10","י׳","7.6.2027"
"יחזקאל","11","י״א","8.6.2027"
"יחזקאל","12","י״ב","9.6.2027"
"יחזקאל","13","י״ג","10.6.2027"
"יחזקאל","14","י״ד","13.6.2027"
"יחזקאל","15","ט״ו","14.6.2027"
"יחזקאל","16","ט״ז","15.6.2027"
"יחזקאל","17","י״ז","16.6.2027"
"יחזקאל","18","י״ח","17.6.2027"
"יחזקאל","19","י״ט","20.6.2027"
"יחזקאל","20","כ׳","21.6.2027"
"יחזקאל","21","כ״א","22.6.2027"
"יחזקאל","22","כ״ב","23.6.2027"
"יחזקאל","23","כ״ג","24.6.2027"
"יחזקאל","24","כ״ד","27.6.2027"
"יחזקאל","25","כ״ה","28.6.2027"
"יחזקאל","26","כ״ו","29.6.2027"
"יחזקאל","27","כ״ז","30.6.2027"
"יחזקאל","28","כ״ח","1.7.2027"
"יחזקאל","29","כ״ט","4.7.2027"
"יחזקאל","30","ל׳","5.7.2027"
"יחזקאל","31","ל״א","6.7.2027"
"יחזקאל","32","ל״ב","7.7.2027"
"יחזקאל","33","ל״ג","8.7.2027"
"יחזקאל","34","ל״ד","11.7.2027"
"יחזקאל","35","ל״ה","12.7.2027"
"יחזקאל","36","ל״ו","13.7.2027"
"יחזקאל","37","ל״ז","14.7.2027"
"יחזקאל","38","ל״ח","15.7.2027"
"יחזקאל","39","ל״ט","18.7.2027"
"יחזקאל","40","מ׳","19.7.2027"
"יחזקאל","41","מ״א","20.7.2027"
"יחזקאל","42","מ״ב","21.7.2027"
"יחזקאל","43","מ״ג","22.7.2027"
"יחזקאל","44","מ״ד","25.7.2027"
"יחזקאל","45","מ״ה","26.7.2027"
"יחזקאל","46","מ״ו","27.7.2027"
"יחזקאל","47","מ״ז","28.7.2027"
"יחזקאל","48","מ״ח","29.7.2027"
"הושע","1","א׳","1.8.2027"
"הושע","2","ב׳","2.8.2027"
"הושע","3","ג׳","3.8.2027"
"הושע","4","ד׳","4.8.2027"
"הושע","5","ה׳","5.8.2027"
"הושע","6","ו׳","8.8.2027"
"הושע","7","ז׳","9.8.2027"
"הושע","8","ח׳","10.8.2027"
"הושע","9","ט׳","11.8.2027"
"הושע","10","י׳","12.8.2027"
"הושע","11","י״א","15.8.2027"
"הושע","12","י״ב","16.8.2027"
"הושע","13","י״ג","17.8.2027"
"הושע","14","י״ד","18.8.2027"
"יואל","1","א׳","19.8.2027"
"יואל","2","ב׳","22.8.2027"
"יואל","3","ג׳","23.8.2027"
"יואל","4","ד׳","24.8.2027"
"עמוס","1","א׳","25.8.2027"
"עמוס","2","ב׳","26.8.2027"
"עמוס","3","ג׳","29.8.2027"
"עמוס","4","ד׳","30.8.2027"
"עמוס","5","ה׳","31.8.2027"
"עמוס","6","ו׳","1.9.2027"
"עמוס","7","ז׳","2.9.2027"
"עמוס","8","ח׳","5.9.2027"
"עמוס","9","ט׳","6.9.2027"
"עובדיה","1","א׳","7.9.2027"
"יונה","1","א׳","8.9.2027"
"יונה","2","ב׳","9.9.2027"
"יונה","3","ג׳","12.9.2027"
"יונה","4","ד׳","13.9.2027"
"מיכה","1","א׳","14.9.2027"
"מיכה","2","ב׳","15.9.2027"
"מיכה","3","ג׳","16.9.2027"
"מיכה","4","ד׳","19.9.2027"
"מיכה","5","ה׳","20.9.2027"
"מיכה","6","ו׳","21.9.2027"
"מיכה","7","ז׳","22.9.2027"
"נחום","1","א׳","23.9.2027"
"נחום","2","ב׳","26.9.2027"
"נחום","3","ג׳","27.9.2027"
"חבקוק","1","א׳","28.9.2027"
"חבקוק","2","ב׳","29.9.2027"
"חבקוק","3","ג׳","30.9.2027"
"צפניה","1","א׳","3.10.2027"
"צפניה","2","ב׳","4.10.2027"
"צפניה","3","ג׳","5.10.2027"
"חגי","1","א׳","6.10.2027"
"חגי","2","ב׳","7.10.2027"
"זכריה","1","א׳","10.10.2027"
"זכריה","2","ב׳","11.10.2027"
"זכריה","3","ג׳","12.10.2027"
"זכריה","4","ד׳","13.10.2027"
"זכריה","5","ה׳","14.10.2027"
"זכריה","6","ו׳","17.10.2027"
"זכריה","7","ז׳","18.10.2027"
"זכריה","8","ח׳","19.10.2027"
"זכריה","9","ט׳","20.10.2027"
"זכריה","10","י׳","21.10.2027"
"זכריה","11","י״א","24.10.2027"
"זכריה","12","י״ב","25.10.2027"
"זכריה","13","י״ג","26.10.2027"
"זכריה","14","י״ד","27.10.2027"
"מלאכי","1","א׳","28.10.2027"
"מלאכי","2","ב׳","31.10.2027"
"מלאכי","3","ג׳","1.11.2027"
"תהלים","1","א׳","2.11.2027"
"תהלים","2","ב׳","3.11.2027"
"תהלים","3","ג׳","4.11.2027"
"תהלים","4","ד׳","7.11.2027"
"תהלים","5","ה׳","8.11.2027"
"תהלים","6","ו׳","9.11.2027"
"תהלים","7","ז׳","10.11.2027"
"תהלים","8","ח׳","11.11.2027"
"תהלים","9","ט׳","14.11.2027"
"תהלים","10","י׳","15.11.2027"
"תהלים","11","י״א","16.11.2027"
"תהלים","12","י״ב","17.11.2027"
"תהלים","13","י״ג","18.11.2027"
"תהלים","14","י״ד","21.11.2027"
"תהלים","15","ט״ו","22.11.2027"
"תהלים","16","ט״ז","23.11.2027"
"תהלים","17","י״ז","24.11.2027"
"תהלים","18","י״ח","25.11.2027"
"תהלים","19","י״ט","28.11.2027"
"תהלים","20","כ׳","29.11.2027"
"תהלים","21","כ״א","30.11.2027"
"תהלים","22","כ״ב","1.12.2027"
"תהלים","23","כ״ג","2.12.2027"
"תהלים","24","כ״ד","5.12.2027"
"תהלים","25","כ״ה","6.12.2027"
"תהלים","26","כ״ו","7.12.2027"
"תהלים","27","כ״ז","8.12.2027"
"תהלים","28","כ״ח","9.12.2027"
"תהלים","29","כ״ט","12.12.2027"
"תהלים","30","ל׳","13.12.2027"
"תהלים","31","ל״א","14.12.2027"
"תהלים","32","ל״ב","15.12.2027"
"תהלים","33","ל״ג","16.12.2027"
"תהלים","34","ל״ד","19.12.2027"
"תהלים","35","ל״ה","20.12.2027"
"תהלים","36","ל״ו","21.12.2027"
"תהלים","37","ל״ז","22.12.2027"
"תהלים","38","ל״ח","23.12.2027"
"תהלים","39","ל״ט","26.12.2027"
"תהלים","40","מ׳","27.12.2027"
"תהלים","41","מ״א","28.12.2027"
"תהלים","42","מ״ב","29.12.2027"
"תהלים","43","מ״ג","30.12.2027"
"תהלים","44","מ״ד","2.1.2028"
"תהלים","45","מ״ה","3.1.2028"
"תהלים","46","מ״ו","4.1.2028"
"תהלים","47","מ״ז","5.1.2028"
"תהלים","48","מ״ח","6.1.2028"
"תהלים","49","מ״ט","9.1.2028"
"תהלים","50","נ׳","10.1.2028"
"תהלים","51","נ״א","11.1.2028"
"תהלים","52","נ״ב","12.1.2028"
"תהלים","53","נ״ג","13.1.2028"
"תהלים","54","נ״ד","16.1.2028"
"תהלים","55","נ״ה","17.1.2028"
"תהלים","56","נ״ו","18.1.2028"
"תהלים","57","נ״ז","19.1.2028"
"תהלים","58","נ״ח","20.1.2028"
"תהלים","59","נ״ט","23.1.2028"
"תהלים","60","ס׳","24.1.2028"
"תהלים","61","ס״א","25.1.2028"
"תהלים","62","ס״ב","26.1.2028"
"תהלים","63","ס״ג","27.1.2028"
"תהלים","64","ס״ד","30.1.2028"
"תהלים","65","ס״ה","31.1.2028"
"תהלים","66","ס״ו","1.2.2028"
"תהלים","67","ס״ז","2.2.2028"
"תהלים","68","ס״ח","3.2.2028"
"תהלים","69","ס״ט","6.2.2028"
"תהלים","70","ע׳","7.2.2028"
"תהלים","71","ע״א","8.2.2028"
"תהלים","72","ע״ב","9.2.2028"
"תהלים","73","ע״ג","10.2.2028"
"תהלים","74","ע״ד","13.2.2028"
"תהלים","75","ע״ה","14.2.2028"
"תהלים","76","ע״ו","15.2.2028"
"תהלים","77","ע״ז","16.2.2028"
"תהלים","78","ע״ח","17.2.2028"
"תהלים","79","ע״ט","20.2.2028"
"תהלים","80","פ׳","21.2.2028"
"תהלים","81","פ״א","22.2.2028"
"תהלים","82","פ״ב","23.2.2028"
"תהלים","83","פ״ג","24.2.2028"
"תהלים","84","פ״ד","27.2.2028"
"תהלים","85","פ״ה","28.2.2028"
"תהלים","86","פ״ו","29.2.2028"
"תהלים","87","פ״ז","1.3.2028"
"תהלים","88","פ״ח","2.3.2028"
"תהלים","89","פ״ט","5.3.2028"
"תהלים","90","צ׳","6.3.2028"
"תהלים","91","צ״א","7.3.2028"
"תהלים","92","צ״ב","8.3.2028"
"תהלים","93","צ״ג","9.3.2028"
"תהלים","94","צ״ד","12.3.2028"
"תהלים","95","צ״ה","13.3.2028"
"תהלים","96","צ״ו","14.3.2028"
"תהלים","97","צ״ז","15.3.2028"
"תהלים","98","צ״ח","16.3.2028"
"תהלים","99","צ״ט","19.3.2028"
"תהלים","100","ק׳","20.3.2028"
"תהלים","101","ק״א","21.3.2028"
"תהלים","102","ק״ב","22.3.2028"
"תהלים","103","ק״ג","23.3.2028"
"תהלים","104","ק״ד","26.3.2028"
"תהלים","105","ק״ה","27.3.2028"
"תהלים","106","ק״ו","28.3.2028"
"תהלים","107","ק״ז","29.3.2028"
"תהלים","108","ק״ח","30.3.2028"
"תהלים","109","ק״ט","2.4.2028"
"תהלים","110","ק״י","3.4.2028"
"תהלים","111","קי״א","4.4.2028"
"תהלים","112","קי״ב","5.4.2028"
"תהלים","113","קי״ג","6.4.2028"
"תהלים","114","קי״ד","9.4.2028"
"תהלים","115","קט״ו","10.4.2028"
"תהלים","116","קט״ז","11.4.2028"
"תהלים","117","קי״ז","12.4.2028"
"תהלים","118","קי״ח","13.4.2028"
"תהלים","119","קי״ט","16.4.2028"
"תהלים","120","ק״כ","17.4.2028"
"תהלים","121","קכ״א","18.4.2028"
"תהלים","122","קכ״ב","19.4.2028"
"תהלים","123","קכ״ג","20.4.2028"
"תהלים","124","קכ״ד","23.4.2028"
"תהלים","125","קכ״ה","24.4.2028"
"תהלים","126","קכ״ו","25.4.2028"
"תהלים","127","קכ״ז","26.4.2028"
"תהלים","128","קכ״ח","27.4.2028"
"תהלים","129","קכ״ט","30.4.2028"
"תהלים","130","ק״ל","1.5.2028"
"תהלים","131","קל״א","2.5.2028"
"תהלים","132","קל״ב","3.5.2028"
"תהלים","133","קל״ג","4.5.2028"
"תהלים","134","קל״ד","7.5.2028"
"תהלים","135","קל״ה","8.5.2028"
"תהלים","136","קל״ו","9.5.2028"
"תהלים","137","קל״ז","10.5.2028"
"תהלים","138","קל״ח","11.5.2028"
"תהלים","139","קל״ט","14.5.2028"
"תהלים","140","ק״מ","15.5.2028"
"תהלים","141","קמ״א","16.5.2028"
"תהלים","142","קמ״ב","17.5.2028"
"תהלים","143","קמ״ג","18.5.2028"
"תהלים","144","קמ״ד","21.5.2028"
"תהלים","145","קמ״ה","22.5.2028"
"תהלים","146","קמ״ו","23.5.2028"
"תהלים","147","קמ״ז","24.5.2028"
"תהלים","148","קמ״ח","25.5.2028"
"תהלים","149","קמ״ט","28.5.2028"
"תהלים","150","ק״נ","29.5.2028"
"משלי","1","א׳","30.5.2028"
"משלי","2","ב׳","31.5.2028"
"משלי","3","ג׳","1.6.2028"
"משלי","4","ד׳","4.6.2028"
"משלי","5","ה׳","5.6.2028"
"משלי","6","ו׳","6.6.2028"
"משלי","7","ז׳","7.6.2028"
"משלי","8","ח׳","8.6.2028"
"משלי","9","ט׳","11.6.2028"
"משלי","10","י׳","12.6.2028"
"משלי","11","י״א","13.6.2028"
"משלי","12","י״ב","14.6.2028"
"משלי","13","י״ג","15.6.2028"
"משלי","14","י״ד","18.6.2028"
"משלי","15","ט״ו","19.6.2028"
"משלי","16","ט״ז","20.6.2028"
"משלי","17","י״ז","21.6.2028"
"משלי","18","י״ח","22.6.2028"
"משלי","19","י״ט","25.6.2028"
"משלי","20","כ׳","26.6.2028"
"משלי","21","כ״א","27.6.2028"
"משלי","22","כ״ב","28.6.2028"
"משלי","23","כ״ג","29.6.2028"
"משלי","24","כ״ד","2.7.2028"
"משלי","25","כ״ה","3.7.2028"
"משלי","26","כ״ו","4.7.2028"
"משלי","27","כ״ז","5.7.2028"
"משלי","28","כ״ח","6.7.2028"
"משלי","29","כ״ט","9.7.2028"
"משלי","30","ל׳","10.7.2028"
"משלי","31","ל״א","11.7.2028"
"איוב","1","א׳","12.7.2028"
"איוב","2","ב׳","13.7.2028"
"איוב","3","ג׳","16.7.2028"
"איוב","4","ד׳","17.7.2028"
"איוב","5","ה׳","18.7.2028"
"איוב","6","ו׳","19.7.2028"
"איוב","7","ז׳","20.7.2028"
"איוב","8","ח׳","23.7.2028"
"איוב","9","ט׳","24.7.2028"
"איוב","10","י׳","25.7.2028"
"איוב","11","י״א","26.7.2028"
"איוב","12","י״ב","27.7.2028"
"איוב","13","י״ג","30.7.2028"
"איוב","14","י״ד","31.7.2028"
"איוב","15","ט״ו","1.8.2028"
"איוב","16","ט״ז","2.8.2028"
"איוב","17","י״ז","3.8.2028"
"איוב","18","י״ח","6.8.2028"
"איוב","19","י״ט","7.8.2028"
"איוב","20","כ׳","8.8.2028"
"איוב","21","כ״א","9.8.2028"
"איוב","22","כ״ב","10.8.2028"
"איוב","23","כ״ג","13.8.2028"
"איוב","24","כ״ד","14.8.2028"
"איוב","25","כ״ה","15.8.2028"
"איוב","26","כ״ו","16.8.2028"
"איוב","27","כ״ז","17.8.2028"
"איוב","28","כ״ח","20.8.2028"
"איוב","29","כ״ט","21.8.2028"
"איוב","30","ל׳","22.8.2028"
"איוב","31","ל״א","23.8.2028"
"איוב","32","ל״ב","24.8.2028"
"איוב","33","ל״ג","27.8.2028"
"איוב","34","ל״ד","28.8.2028"
"איוב","35","ל״ה","29.8.2028"
"איוב","36","ל״ו","30.8.2028"
"איוב","37","ל״ז","31.8.2028"
"איוב","38","ל״ח","3.9.2028"
"איוב","39","ל״ט","4.9.2028"
"איוב","40","מ׳","5.9.2028"
"איוב","41","מ״א","6.9.2028"
"איוב","42","מ״ב","7.9.2028"
"שיר השירים","1","א׳","10.9.2028"
"שיר השירים","2","ב׳","11.9.2028"
"שיר השירים","3","ג׳","12.9.2028"
"שיר השירים","4","ד׳","13.9.2028"
"שיר השירים","5","ה׳","14.9.2028"
"שיר השירים","6","ו׳","17.9.2028"
"שיר השירים","7","ז׳","18.9.2028"
"שיר השירים","8","ח׳","19.9.2028"
"רות","1","א׳","20.9.2028"
"רות","2","ב׳","21.9.2028"
"רות","3","ג׳","24.9.2028"
"רות","4","ד׳","25.9.2028"
"איכה","1","א׳","26.9.2028"
"איכה","2","ב׳","27.9.2028"
"איכה","3","ג׳","28.9.2028"
"איכה","4","ד׳","1.10.2028"
"איכה","5","ה׳","2.10.2028"
"קהלת","1","א׳","3.10.2028"
"קהלת","2","ב׳","4.10.2028"
"קהלת","3","ג׳","5.10.2028"
"קהלת","4","ד׳","8.10.2028"
"קהלת","5","ה׳","9.10.2028"
"קהלת","6","ו׳","10.10.2028"
"קהלת","7","ז׳","11.10.2028"
"קהלת","8","ח׳","12.10.2028"
"קהלת","9","ט׳","15.10.2028"
"קהלת","10","י׳","16.10.2028"
"קהלת","11","י״א","17.10.2028"
"קהלת","12","י״ב","18.10.2028"
"אסתר","1","א׳","19.10.2028"
"אסתר","2","ב׳","22.10.2028"
"אסתר","3","ג׳","23.10.2028"
"אסתר","4","ד׳","24.10.2028"
"אסתר","5","ה׳","25.10.2028"
"אסתר","6","ו׳","26.10.2028"
"אסתר","7","ז׳","29.10.2028"
"אסתר","8","ח׳","30.10.2028"
"אסתר","9","ט׳","31.10.2028"
"אסתר","10","י׳","1.11.2028"
"דניאל","1","א׳","2.11.2028"
